Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
AMZN,03/23/2018,1539,1549,1495,1496,8006033,-49.36,-3.19%
AMZN,03/22/2018,1565,1574,1542,1545,6293148,-36.94,-2.34%
AMZN,03/21/2018,1586,1590,1563,1582,4749833,-4.65,-0.29%
AMZN,03/20/2018,1550,1587,1545,1587,4570334,41.58,2.69%
AMZN,03/19/2018,1555,1562,1527,1545,6573425,-26.75,-1.70%
AMZN,03/16/2018,1583,1589,1568,1572,5425012,-10.64,-0.67%
AMZN,03/15/2018,1595,1596,1578,1582,4065069,-8.68,-0.55%
AMZN,03/14/2018,1597,1606,1591,1591,4255108,2.82,0.18%
AMZN,03/13/2018,1616,1618,1578,1588,6529037,-10.21,-0.64%
AMZN,03/12/2018,1593,1605,1587,1598,5170264,19.5,1.24%
AMZN,03/09/2018,1564,1579,1559,1579,4534250,27.03,1.74%
AMZN,03/08/2018,1550,1555,1545,1552,3816150,6.86,0.44%
AMZN,03/07/2018,,1546,,1545,4167545,7.36,0.48%
AMZN,03/06/2018,1533,1542,1528,1538,4483582,14.03,0.92%
AMZN,03/05/2018,1494,1525,1481,1524,5230092,23.36,1.56%
AMZN,03/02/2018,1469,1501,1455,1500,6587564,6.8,0.46%
AMZN,03/01/2018,1514,1518,1465,1493,6829325,-19,-1.26%
AMZN,02/28/2018,1520,1529,1512,1512,4503252,0.47,0.03%
AMZN,02/27/2018,1524,1527,1507,1512,4801621,-9.97,-0.66%
AMZN,02/26/2018,1509,1523,1507,1522,4948161,21.95,1.46%
AMZN,02/23/2018,1495,1500,1486,1500,4418103,14.66,0.99%
AMZN,02/22/2018,,,1476,1485,4807671,2.42,0.16%
AMZN,02/21/2018,1485,1503,1479,1483,6275171,14.57,0.99%
AMZN,02/20/2018,1446,1489,1446,1468,6485298,19.66,1.36%
AMZN,02/16/2018,,1449,1449,1449,0,-13.07,-0.89%
AMZN,02/15/2018,1467,1469,1445,1462,5642002,10.71,0.74%
AMZN,02/14/2018,1406,1452,1403,1451,5953189,36.54,2.58%
AMZN,02/13/2018,,,,1415,5883933,28.28,2.04%
AMZN,02/12/2018,1365,1394,1344,1386,6726131,46.63,3.48%
AMZN,02/09/2018,1373,1384,1266,1340,14141524,-10.9,-0.81%
AMZN,02/08/2018,,1433,1350,1350,8518687,-66.28,-4.68%
AMZN,02/07/2018,1449,1457,1415,1417,7141595,-26.06,-1.81%
AMZN,02/06/2018,1361,1444,1352,1443,10955248,52.84,3.80%
AMZN,02/05/2018,1403,1459,1321,1390,11436080,-39.95,-2.79%
AMZN,02/02/2018,1477,1498,1435,1430,11125722,39.95,2.87%
AMZN,02/01/2018,1445,1460,1385,1390,9064760,-60.89,-4.20%
AMZN,01/31/2018,1451,1473,1450,1451,6413764,13.07,0.91%
AMZN,01/30/2018,1403,1439,1392,1438,5866740,20.14,1.42%
AMZN,01/29/2018,1409,1431,1400,1418,5693528,15.63,1.11%
AMZN,01/26/2018,1392,1403,1381,1402,4857310,24.1,1.75%
AMZN,01/25/2018,1368,1378,1358,1378,4746804,20.44,1.51%
AMZN,01/24/2018,1375,1388,1338,1358,6784635,-5.03,-0.37%
AMZN,01/23/2018,1338,1365,1338,1363,5164052,35.23,2.65%
AMZN,01/22/2018,1297,1327,1297,1327,4131603,32.73,2.53%
AMZN,01/19/2018,1312,1313,1293,1295,4578536,1.26,0.10%
AMZN,01/18/2018,1294,1305,1284,1293,4023190,-1.68,-0.13%
AMZN,01/17/2018,1312,1314,1281,1295,5243479,-9.86,-0.76%
AMZN,01/16/2018,1323,1340,1292,1305,7168884,-0.34,-0.03%
AMZN,01/12/2018,,1305,1305,1305,0,28.52,2.23%
AMZN,01/11/2018,1260,1277,1256,1277,3120550,22.35,1.78%
AMZN,01/10/2018,,1254,,1254,2684060,1.63,0.13%
AMZN,01/09/2018,1257,1259,1242,1253,3659621,5.83,0.47%
AMZN,01/08/2018,1236,1253,1232,1247,4271351,17.73,1.44%
AMZN,01/05/2018,1218,1229,1210,1229,3544743,19.55,1.62%
AMZN,01/04/2018,,,,1210,3018547,5.39,0.45%
AMZN,01/03/2018,1188,1205,1188,1204,3094742,15.19,1.28%
