Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
FB,03/23/18,165.44,167.1,159.07,159.39,53609706,-5.5,-3.34%
FB,03/22/18,166.13,170.27,163.72,164.89,73659958,-4.5,-2.66%
FB,03/21/18,164.8,173.4,163.3,169.39,106577251,1.24,0.74%
FB,03/20/18,167.47,170.2,161.95,168.15,129816055,-4.41,-2.56%
FB,03/19/18,177.01,177.16,170.06,172.56,88045433,-12.53,-6.77%
FB,03/16/18,184.49,185.33,183.41,185.09,24403438,1.23,0.67%
FB,03/15/18,183.24,184,182.19,183.86,15643658,-0.33,-0.18%
FB,03/14/18,182.6,184.25,181.88,184.19,16818240,2.31,1.27%
FB,03/13/18,185.61,185.99,181.11,181.88,18060770,-2.88,-1.56%
FB,03/12/2018,185.23,186.1,184.22,184.76,15295200,-0.47,-0.25%
FB,03/09/2018,183.91,185.51,183.21,185.23,18526292,2.89,1.58%
FB,03/08/2018,183.56,184.4,181.45,182.34,17029991,-1.37,-0.75%
FB,03/07/2018,,183.82,,183.71,19016504,3.93,2.19%
FB,03/06/2018,181.78,182.38,179.11,179.78,14966536,-0.62,-0.34%
FB,03/05/2018,176.2,181.15,175.89,180.4,16178333,3.78,2.14%
FB,03/02/2018,173.29,177.11,172.99,176.62,20025905,0.68,0.39%
FB,03/01/2018,179.01,180.12,174.41,175.94,23185917,-2.38,-1.33%
FB,02/28/18,182.3,182.88,178.14,178.32,18627951,-3.14,-1.73%
FB,02/27/18,184.45,184.7,181.46,181.46,15818133,-3.47,-1.88%
FB,02/26/18,184.58,185.66,183.22,184.93,17585609,1.64,0.89%
FB,02/23/18,179.9,183.39,179.51,183.29,19007288,4.3,2.40%
FB,02/22/18,,,177.41,178.99,17777617,1.08,0.61%
FB,02/21/18,176.71,181.24,176.4,177.91,23175531,1.9,1.08%
FB,02/20/18,175.77,177.95,175.11,176.01,21088403,-1.35,-0.76%
FB,02/16/18,,177.36,177.36,177.36,0,-2.6,-1.44%
FB,02/15/18,,179.52,177.45,179.96,20771864,0.44,0.25%
FB,02/14/18,173.45,179.75,173.25,179.52,28914181,6.37,3.68%
FB,02/13/18,175.62,175.97,173.11,173.15,21439850,-3.26,-1.85%
FB,02/12/2018,177.06,177.5,171.84,176.41,32062386,0.3,0.17%
FB,02/09/2018,174.76,176.9,167.18,176.11,39887626,4.53,2.64%
FB,02/08/2018,,181.84,171.48,171.58,38415232,-8.6,-4.77%
FB,02/07/2018,184.15,185.06,179.95,180.18,27493181,-5.13,-2.77%
FB,02/06/2018,178.57,185.73,177.74,185.31,37727908,4.05,2.23%
FB,02/05/2018,186.93,190.61,180.61,181.26,32856136,-9.02,-4.74%
FB,02/02/2018,192.04,194.21,189.98,190.28,26677484,-2.81,-1.46%
FB,02/01/2018,188.22,195.32,187.89,193.09,53983245,6.2,3.32%
FB,01/31/18,188.37,189.75,185.22,186.89,42360219,-0.23,-0.12%
FB,01/30/18,187.62,188.18,181.84,187.12,20842585,1.14,0.61%
FB,01/29/18,188.75,188.84,185.63,185.98,20335473,-4.02,-2.12%
FB,01/26/18,187.75,190,186.81,190,17759212,2.52,1.34%
FB,01/25/18,187.95,188.55,186.6,187.48,17353338,0.93,0.50%
FB,01/24/18,189.89,190.64,186.52,186.55,23443937,-2.8,-1.48%
FB,01/23/18,186.05,189.55,185.55,189.35,25661201,3.98,2.15%
FB,01/22/18,180.8,185.39,180.41,185.37,21034248,4.08,2.25%
FB,01/19/18,180.85,182.37,180.17,181.29,26826540,1.49,0.83%
FB,01/18/18,178.13,180.98,177.08,179.8,23255303,2.2,1.24%
FB,01/17/18,179.26,179.32,175.8,177.6,27972451,-0.79,-0.44%
FB,01/16/18,181.5,181.75,178.04,178.39,35379926,-0.98,-0.55%
FB,01/12/2018,,179.37,179.37,179.37,0,-8.4,-4.47%
FB,01/11/2018,188.4,188.4,187.38,187.77,9582191,-0.07,-0.04%
FB,01/10/2018,,187.89,,187.84,10518927,-0.03,-0.02%
FB,01/09/2018,188.7,188.79,187.1,187.87,12378401,-0.41,-0.22%
FB,01/08/2018,187.2,188.9,186.33,188.28,17984588,1.43,0.77%
FB,01/05/2018,185.59,186.9,184.93,186.85,13574535,2.52,1.37%
FB,01/04/2018,184.9,186.21,184.1,184.33,13867569,-0.34,-0.18%
FB,01/03/2018,181.88,184.78,181.33,184.67,16881886,3.25,1.79%
